IsBadBuy,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VehBCost,IsOnlineSale,WarrantyCost
1,8,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L ST,GREY,AUTO,1.0,Alloy,96094,AMERICAN,LARGE TRUCK,3558.0,4257.0,6863.0,7580.0,3496.0,4363.0,6833.0,7779.0,6420.0,0,920
0,9,NISSAN,SENTRA,GXE,4D SEDAN,BLUE,AUTO,2.0,Covers,85441,TOP LINE ASIAN,COMPACT,2026.0,2356.0,4635.0,5071.0,2223.0,2613.0,4626.0,4975.0,3950.0,0,894
0,4,CHEVROLET,TRAILBLAZER EXT 2WD,LS,4D SUV 4.2L LS,GREEN,AUTO,1.0,Alloy,70679,AMERICAN,MEDIUM SUV,8234.0,9556.0,9393.0,10820.0,8407.0,9652.0,9580.0,10924.0,8520.0,0,1155
0,5,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,59140,AMERICAN,MEDIUM,3431.0,4332.0,6951.0,7819.0,4154.0,5268.0,7510.0,8653.0,5870.0,0,1086
0,5,PONTIAC,GRAND PRIX,Bas,4D SEDAN,WHITE,AUTO,1.0,Alloy,71006,AMERICAN,LARGE,4864.0,6099.0,8291.0,9680.0,4089.0,5451.0,7696.0,8937.0,6595.0,0,1974
1,1,CHRYSLER,SEBRING 4C 2.4L I4 E,LX,4D SEDAN,RED,AUTO,,,45466,AMERICAN,MEDIUM,7960.0,8466.0,9097.0,9643.0,7960.0,8466.0,9097.0,9643.0,7900.0,0,834
0,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER EXT 3.4L LS,GOLD,AUTO,1.0,Alloy,87615,AMERICAN,VAN,4233.0,5243.0,7559.0,8975.0,4243.0,5543.0,7736.0,9313.0,6000.0,0,5092
0,4,CHRYSLER,300,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,68637,AMERICAN,SPECIALTY,9243.0,10954.0,13327.0,15026.0,9913.0,11456.0,13930.0,15462.0,9330.0,1,1215
0,2,FORD,FUSION 4C,SE,4D SEDAN SE,BLUE,AUTO,1.0,Alloy,69847,AMERICAN,MEDIUM,11673.0,13392.0,15853.0,17459.0,10893.0,12764.0,14386.0,16207.0,8645.0,0,728
0,4,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,WHITE,AUTO,1.0,Alloy,77275,AMERICAN,MEDIUM SUV,9131.0,10801.0,10361.0,12165.0,9056.0,10886.0,10280.0,12257.0,8100.0,0,1974
0,6,FORD,FREESTAR FWD V6,SES,4D PASSENGER 3.9L SES,SILVER,AUTO,1.0,Alloy,106230,AMERICAN,VAN,3838.0,5040.0,7528.0,8974.0,4390.0,5573.0,7468.0,8759.0,3595.0,0,1930
1,4,DODGE,DURANGO 2WD V6,SXT,4D SUV 3.7L,RED,AUTO,1.0,Alloy,64989,AMERICAN,MEDIUM SUV,9852.0,10943.0,14155.0,14698.0,9617.0,11043.0,14090.0,14966.0,10225.0,0,1118
0,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT,BLACK,AUTO,1.0,Alloy,74112,AMERICAN,CROSSOVER,0.0,0.0,0.0,0.0,7519.0,8732.0,10607.0,11917.0,7485.0,0,1389
0,2,FORD,FUSION 4C 2.3L I4 EF,S,4D SEDAN S,MAROON,AUTO,2.0,Covers,64364,AMERICAN,MEDIUM,7747.0,9445.0,8867.0,10701.0,8498.0,9928.0,11801.0,13030.0,7000.0,0,728
1,1,TOYOTA,MATRIX 2WD,Bas,4D SEDAN,GREY,AUTO,2.0,Covers,51369,TOP LINE ASIAN,MEDIUM,10162.0,11117.0,13388.0,14207.0,10414.0,11312.0,13555.0,14313.0,8915.0,0,505
0,4,CHEVROLET,1500 SILVERADO PICKU,LS,REG CAB 4.8L,WHITE,AUTO,2.0,Covers,79056,AMERICAN,LARGE TRUCK,6223.0,7817.0,10365.0,12297.0,7146.0,9799.0,10413.0,13313.0,7050.0,0,1155
0,1,DODGE,AVENGER 4C,SE,4D SEDAN,WHITE,AUTO,2.0,Covers,52536,AMERICAN,MEDIUM,7828.0,8597.0,8954.0,9785.0,7965.0,8884.0,11871.0,12554.0,7640.0,0,920
1,5,CHEVROLET,MALIBU 4C,Cla,4D SEDAN CLASSIC,WHITE,AUTO,2.0,Covers,53382,AMERICAN,MEDIUM,4269.0,6055.0,7352.0,9889.0,4059.0,5712.0,7408.0,10425.0,5980.0,0,920
0,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,BLUE,AUTO,1.0,Alloy,69364,AMERICAN,MEDIUM,4540.0,5694.0,5403.0,6650.0,4739.0,6141.0,5618.0,7132.0,4860.0,0,1020
0,2,CHRYSLER,300,LX,4D SEDAN,GREY,AUTO,2.0,Covers,67156,AMERICAN,SPECIALTY,10958.0,12269.0,14513.0,15726.0,10355.0,11937.0,14059.0,15631.0,9750.0,0,1215
1,4,SATURN,ION,2,4D SEDAN LEVEL 2,GOLD,AUTO,2.0,Covers,54405,AMERICAN,MEDIUM,5533.0,6535.0,8990.0,10018.0,5496.0,6709.0,8978.0,10159.0,6670.0,0,671
0,4,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,WHITE,AUTO,2.0,Covers,61266,AMERICAN,MEDIUM,4896.0,5653.0,8499.0,9273.0,5813.0,6898.0,9541.0,10707.0,5500.0,0,1118
0,2,DODGE,CALIBER,SE,4D WAGON,BEIGE,AUTO,2.0,Covers,53488,AMERICAN,MEDIUM,7314.0,8006.0,10875.0,11513.0,7743.0,8225.0,11335.0,11733.0,7100.0,0,754
0,5,PONTIAC,GRAND AM V6,SE,4D SEDAN SE,GOLD,AUTO,2.0,Covers,87553,AMERICAN,MEDIUM,4263.0,5312.0,7133.0,8422.0,3734.0,4744.0,6945.0,8228.0,4660.0,0,2412
0,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,RED,AUTO,2.0,Covers,72373,AMERICAN,MEDIUM,6311.0,7450.0,7316.0,8546.0,6658.0,7783.0,7691.0,8906.0,6000.0,0,1038
0,2,DODGE,AVENGER 4C,SE,4D SEDAN,SILVER,AUTO,2.0,Covers,59643,AMERICAN,MEDIUM,8860.0,9741.0,12248.0,13100.0,8949.0,9677.0,12945.0,13324.0,8225.0,0,920
0,5,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,1.0,Alloy,87392,TOP LINE ASIAN,MEDIUM,6362.0,7840.0,9909.0,11769.0,5799.0,7509.0,9569.0,11487.0,7716.5,0,723
1,4,KIA,SPECTRA 5,,4D SEDAN EX,BLUE,AUTO,1.0,Alloy,84333,OTHER ASIAN,MEDIUM,5190.0,6575.0,8761.0,9890.0,5102.0,6305.0,8590.0,9530.0,6245.0,0,594
